Word,Root,Gloss,Morphemes,Line Numbers
мөгелиг,мөге,wrestler,['лиг (adjectival)'],-1A
тоол,тоол,"folktale, epic, story",[],"-1A, 899B, 903B, 906B, 913B, 916B, 917B, 918B, 922B, 925B, 931B, 933B, 994B"
хайындырынмай,хай,misfortune,"['ын (reflexive)', 'дыр (causative or evidential)', 'ын (reflexive)']","0A, 1006A, 1552A, 2953A"
багай,багай,bad,[],"0A, 8A, 112A, 136A, 165A, 186A, 202A, 219A, 291A, 308A, 322A, 372A, 381A, 383A, 390A, 424A, 429A, 460A, 479A, 492A, 516A, 555A, 567A, 575A, 586A, 602A, 627A, 688A, 715A, 805A, 815A, 824A, 843A, 845A, 850A, 867A, 872A, 897A, 918A, 940A, 959A, 968A, 971A, 980A, 987A, 999A, 1002A, 1006A, 1012A, 1026A, 1032A, 1081A, 1100A, 1103A, 1112A, 1115A, 1123A, 1135A, 1148A, 1159A, 1177A, 1181A, 1190A, 1194A, 1200A, 1215A, 1233A, 1268A, 1289A, 1298A, 1304A, 1310A, 1318A, 1325A, 1347A, 1358A, 1366A, 1370A, 1409A, 1443A, 1466A, 1517A, 1529A, 1533A, 1639A, 1703A, 1708A, 1747A, 1759A, 1795A, 1805A, 1837A, 1848A, 1855A, 1864A, 1941A, 1943A, 1994A, 2016A, 2056A, 2160A, 2172A, 2188A, 2331A, 2359A, 2389A, 2403A, 2411A, 2412A, 2421A, 2428A, 2452A, 2455A, 2457A, 2468A, 2492A, 2497A, 2503A, 2509A, 2514A, 2531A, 2532A, 2554A, 2562A, 2570A, 2583A, 2610A, 2624A, 2633A, 2664A, 2665A, 2686A, 2690A, 2705A, 2724A, 2731A, 2738A, 2800A, 2846A, 2867A, 2871A, 2880A, 2890A, 2899A, 2930A, 2936A, 2953A, 2959A, 2977A, 2991A, 3004A, 3008A, 3042A, 3045A, 3095A, 3107A, 3119A, 3131A, 3133A, 3152A, 3243A, 3249A, 3257A, 3288A, 3325A, 3329A, 3345A, 3376A, 3389A, 3393A, 3403A, 3413A, 3431A, 3445A, 3453A, 3B, 370B, 493B, 653B, 686B, 886B, 942B, 969B, 985B, 991B, 1532B, 679C, 720C, 725C, 767C, 811C, 812C, 818C, 823C, 824C, 838C, 839C, 841C, 843C, 847C, 853C, 854C, 859C, 862C, 867C, 869C, 890C, 1005C, 1358C, 1789C"
ооа,оо,"Discourse marker, adds emphasis to preceding sentence/phrase",[],0A
эртенгиниӊ,эртен,morning,"['ги (adjectival)', 'ни (accusative)']","1A, 1B, 885B, 549C, 1407C"
эртезинде,эрте,early,"['зин (volitive 3rd singular)', 'де (verbalizer)']","1A, 1645A, 3304A, 885B, 1496B, 549C, 721C, 1261C, 1407C"
эки,эки,positive,[],"2A, 494A, 519A, 663A, 765A, 843A, 886A, 916A, 966A, 973A, 1113A, 1441A, 1464A, 1757A, 2501A, 2528A, 2580A, 2661A, 2803A, 2810A, 2815A, 2824A, 2984A, 3002A, 3022A, 3086A, 3292A, 3293A, 3307A, 51B, 289B, 653B, 686B, 714B, 758B, 803B, 834B, 885B, 1142B, 1368B, 247C, 248C, 273C, 1070C, 1531C, 1531C"
шагны,,,['ны (accusative)'],"2A, 885B"
эктинде,,,"['ин (reflexive)', 'де (verbalizer)']","2A, 1B"
бурунгунун,бурунгу,"ancient, former, old",['ун (reflexive)'],"3A, 1C, 549C"
мурнунда,мурнунда,in front of,[],"3A, 2367A, 1B, 885B, 1496B, 1C, 549C, 721C, 809C, 925C"
бурган,бурган,god,[],"4A, 120A, 361A, 574A, 2635A, 2647A, 3041A, 1497B, 1610B, 1612B, 1356C"
башкы,башкы,teacher (addressing a shaman),[],"4A, 227A, 1948A, 844B, 1083B, 1497B, 750C, 756C, 787C, 1356C, 1356C, 1357C, 1663C, 1667C, 1671C, 1675C, 1693C"
номнап,ном,undated,['на (verbalizer)'],4A
турар,турар,exist,[],"4A, 79A, 163A, 194A, 242A, 614A, 637A, 639A, 680A, 682A, 783A, 941A, 972A, 974A, 1080A, 1113A, 1208A, 1340A, 1342A, 1418A, 1719A, 1734A, 1854A, 1993A, 1998A, 2082A, 2091A, 2133A, 2308A, 2656A, 2657A, 2788A, 2985A, 3124A, 3269A, 3411A, 3433A, 3471A, 25B, 26B, 27B, 46B, 50B, 57B, 98B, 114B, 115B, 123B, 139B, 139B, 153B, 247B, 300B, 304B, 310B, 312B, 437B, 442B, 442B, 451B, 636B, 688B, 753B, 781B, 798B, 827B, 847B, 1056B, 1083B, 1129B, 1130B, 1130B, 1497B, 1584B, 1586B, 2C, 4C, 13C, 456C, 500C, 538C, 550C, 688C, 725C, 766C, 830C, 1213C, 1223C, 1274C, 1283C, 1285C, 1290C, 1313C, 1329C, 1333C, 1409C, 1586C, 1634C, 1652C"
шагда,шагда,long ago,[],"4A, 633A, 2B, 2B, 3B, 746B, 760B, 773B, 786B, 805B, 819B, 1497B, 2C, 388C, 550C, 908C, 1261C, 1409C"
өлеӊде,өл,wet,['де (verbalizer)'],"5A, 19A, 88A, 109A, 200A, 287A, 353A, 552A, 984A, 1405A, 1514A, 2886A, 3128A"
өледей,өл,wet,['де (verbalizer)'],"5A, 19A, 88A, 109A, 200A, 287A, 353A, 552A, 984A, 1405A, 1514A, 2886A, 3128A"
сараӊда,,,"['ар (verbal noun)', 'да (verbalizer)']","6A, 20A, 89A, 110A, 199A, 354A, 553A, 985A, 1515A, 2887A, 3129A"
сарадай,,,"['ар (verbal noun)', 'да (verbalizer)']","6A, 20A, 89A, 110A, 199A, 288A, 354A, 553A, 985A, 1515A, 2887A, 3129A"
ирей,,,['ир (participle)'],"7A, 10A, 21A, 90A, 111A, 201A, 289A, 303A, 554A, 986A, 1516A, 2888A, 848B, 888B, 889B, 975B, 978B, 1378B, 1379B"
кадай,кадай,wife,[],"7A, 970A, 2250A, 2256A, 2864A, 2865A, 2874A, 2896A, 2997A, 3001A, 3B, 4B, 5B, 8B, 11B, 29B, 44B, 79B, 165B, 237B, 244B, 248B, 274B, 290B, 300B, 304B, 436B, 439B, 661B, 848B, 888B, 888B, 894B, 909B, 975B, 978B, 1378B, 1379B, 1416B, 1553B, 727C, 733C, 863C, 908C, 912C, 921C, 922C, 930C, 1098C, 1100C, 1116C, 1120C, 1135C, 1749C, 1750C"
чурттап,чурт,"earth, country",['тап (plural)'],"7A, 13A, 1356A, 1854A, 2082A, 3269A, 3501A, 4B, 7B, 16B, 22B, 24B, 245B, 250B, 266B, 292B, 437B, 439B, 458B, 628B, 636B, 883B, 888B, 889B, 1032B, 1117B, 1168B, 1172B, 1360B, 1492B, 1536B, 1613B, 3C, 4C, 188C, 191C, 192C, 392C, 552C, 598C, 719C, 725C, 766C, 830C, 891C, 908C, 1311C, 1333C, 1353C, 1388C, 1418C, 1534C, 1652C, 1769C"
чоруп,,,"['ор (aorist)', 'уп (circumstantial)']","7A, 13A, 63A, 76A, 84A, 108A, 267A, 299A, 398A, 696A, 702A, 736A, 745A, 774A, 979A, 981A, 988A, 1013A, 1017A, 1029A, 1035A, 1039A, 1044A, 1048A, 1051A, 1113A, 1129A, 1131A, 1141A, 1147A, 1192A, 1202A, 1290A, 1291A, 1292A, 1295A, 1303A, 1308A, 1324A, 1330A, 1346A, 1382A, 1387A, 1393A, 1647A, 1648A, 1652A, 1684A, 1753A, 1755A, 1793A, 1812A, 1882A, 1893A, 1900A, 1901A, 1911A, 1930A, 1939A, 1958A, 1959A, 2259A, 2298A, 2309A, 2321A, 2395A, 2451A, 2454A, 2475A, 2671A, 2675A, 2735A, 2742A, 2745A, 2765A, 2859A, 2860A, 2902A, 2994A, 3045A, 3056A, 3064A, 3077A, 3080A, 3174A, 3185A, 3196A, 3201A, 3202A, 3208A, 3210A, 3213A, 3215A, 3330A, 3383A, 3421A, 3422A, 3425A, 3440A, 3446A, 60B, 62B, 64B, 110B, 111B, 140B, 141B, 334B, 351B, 383B, 421B, 422B, 423B, 462B, 512B, 513B, 517B, 532B, 557B, 673B, 700B, 732B, 845B, 883B, 888B, 932B, 946B, 952B, 961B, 964B, 966B, 1009B, 1013B, 1016B, 1028B, 1030B, 1044B, 1046B, 1066B, 1068B, 1069B, 1097B, 1121B, 1127B, 1134B, 1154B, 1180B, 1216B, 1253B, 1308B, 1321B, 1327B, 1334B, 1341B, 1347B, 1374B, 1376B, 1388B, 1413B, 1424B, 1480B, 1493B, 1499B, 1502B, 1503B, 1516B, 1535B, 1536B, 1538B, 1578B, 1585B, 1590B, 1595B, 284C, 305C, 448C, 450C, 457C, 459C, 542C, 723C, 837C, 842C, 847C, 868C, 895C, 896C, 905C, 936C, 937C, 940C, 942C, 949C, 1004C, 1004C, 1011C, 1046C, 1056C, 1057C, 1058C, 1058C, 1077C, 1081C, 1081C, 1156C, 1162C, 1168C, 1214C, 1315C, 1355C, 1415C, 1442C, 1452C, 1502C, 1506C, 1512C, 1528C, 1552C, 1554C, 1554C, 1571C, 1598C, 1626C, 1656C, 1712C, 1712C, 1769C"
тур,,,['тур (evidential)'],"7A, 13A, 41A, 44A, 57A, 66A, 75A, 77A, 79A, 86A, 103A, 123A, 134A, 156A, 165A, 197A, 242A, 249A, 251A, 285A, 309A, 333A, 346A, 386A, 406A, 417A, 420A, 428A, 433A, 450A, 459A, 467A, 477A, 496A, 504A, 524A, 565A, 582A, 601A, 620A, 653A, 657A, 661A, 677A, 683A, 702A, 733A, 738A, 745A, 763A, 770A, 801A, 823A, 844A, 854A, 871A, 896A, 913A, 943A, 959A, 974A, 990A, 1000A, 1029A, 1044A, 1048A, 1053A, 1069A, 1073A, 1075A, 1080A, 1087A, 1105A, 1114A, 1122A, 1132A, 1134A, 1145A, 1165A, 1253A, 1278A, 1281A, 1291A, 1324A, 1330A, 1333A, 1342A, 1357A, 1364A, 1366A, 1387A, 1393A, 1425A, 1430A, 1445A, 1451A, 1467A, 1518A, 1524A, 1527A, 1546A, 1559A, 1566A, 1577A, 1592A, 1647A, 1652A, 1673A, 1690A, 1694A, 1755A, 1764A, 1774A, 1786A, 1791A, 1794A, 1815A, 1816A, 1829A, 1834A, 1836A, 1842A, 1864A, 1873A, 1882A, 1892A, 1894A, 1900A, 1905A, 1908A, 1914A, 1918A, 1925A, 1936A, 1971A, 2008A, 2036A, 2055A, 2084A, 2091A, 2108A, 2113A, 2122A, 2135A, 2158A, 2176A, 2241A, 2250A, 2288A, 2292A, 2298A, 2309A, 2321A, 2336A, 2361A, 2372A, 2427A, 2451A, 2454A, 2456A, 2459A, 2461A, 2475A, 2487A, 2496A, 2502A, 2530A, 2549A, 2574A, 2592A, 2594A, 2600A, 2609A, 2616A, 2643A, 2646A, 2651A, 2660A, 2664A, 2684A, 2689A, 2704A, 2729A, 2737A, 2747A, 2762A, 2774A, 2776A, 2779A, 2790A, 2793A, 2801A, 2845A, 2864A, 2872A, 2908A, 2935A, 2965A, 2985A, 3015A, 3040A, 3056A, 3063A, 3065A, 3071A, 3077A, 3091A, 3094A, 3111A, 3115A, 3120A, 3141A, 3161A, 3191A, 3201A, 3205A, 3210A, 3213A, 3216A, 3219A, 3261A, 3289A, 3324A, 3326A, 3378A, 3436A, 3455A, 3477A, 3484A, 3488A, 20B, 58B, 81B, 85B, 104B, 118B, 125B, 216B, 239B, 246B, 254B, 278B, 281B, 396B, 439B, 454B, 462B, 477B, 483B, 486B, 495B, 577B, 775B, 821B, 888B, 893B, 895B, 901B, 904B, 921B, 924B, 927B, 937B, 940B, 964B, 966B, 973B, 994B, 1051B, 1058B, 1062B, 1063B, 1066B, 1149B, 1150B, 1153B, 1154B, 1159B, 1311B, 1364B, 1367B, 1378B, 1384B, 1384B, 1391B, 1396B, 1420B, 1421B, 1451B, 1452B, 1463B, 1464B, 1467B, 1499B, 1515B, 1534B, 1536B, 1538B, 1543B, 1568B, 1571B, 1575B, 1586B, 1601B, 63C, 88C, 89C, 91C, 94C, 101C, 112C, 113C, 119C, 121C, 123C, 126C, 146C, 193C, 226C, 231C, 247C, 248C, 260C, 261C, 273C, 286C, 289C, 348C, 365C, 396C, 398C, 401C, 411C, 423C, 427C, 433C, 435C, 437C, 441C, 443C, 460C, 467C, 484C, 486C, 486C, 491C, 494C, 495C, 501C, 509C, 516C, 517C, 522C, 527C, 533C, 535C, 536C, 542C, 546C, 576C, 600C, 634C, 723C, 797C, 806C, 932C, 936C, 937C, 945C, 946C, 950C, 953C, 955C, 956C, 971C, 1011C, 1047C, 1060C, 1071C, 1076C, 1081C, 1089C, 1093C, 1095C, 1098C, 1136C, 1236C, 1257C, 1264C, 1265C, 1311C, 1415C, 1430C, 1437C, 1438C, 1447C, 1470C, 1487C, 1496C, 1506C, 1571C, 1582C, 1583C, 1587C, 1595C, 1625C, 1656C, 1731C, 1747C, 1769C"
хайындырыӊмай,хай,misfortune,"['ын (reflexive)', 'дыр (causative or evidential)']","8A, 136A, 165A, 186A, 202A, 219A, 291A, 308A, 322A, 372A, 381A, 383A, 390A, 424A, 429A, 479A, 555A, 567A, 575A, 627A, 715A, 815A, 824A, 845A, 850A, 867A, 872A, 897A, 918A, 940A, 959A, 980A, 987A, 1002A, 1012A, 1032A, 1100A, 1103A, 1115A, 1123A, 1135A, 1148A, 1159A, 1177A, 1181A, 1190A, 1194A, 1200A, 1215A, 1233A, 1268A, 1289A, 1298A, 1304A, 1318A, 1325A, 1347A, 1358A, 1366A, 1370A, 1409A, 1517A, 1529A, 1533A, 1639A, 1674A, 1703A, 1708A, 1747A, 1757A, 1795A, 1837A, 1848A, 1855A, 1991A, 1994A, 2056A, 2160A, 2172A, 2227A, 2274A, 2331A, 2359A, 2389A, 2403A, 2412A, 2421A, 2428A, 2455A, 2457A, 2468A, 2492A, 2514A, 2531A, 2532A, 2554A, 2562A, 2570A, 2583A, 2602A, 2610A, 2624A, 2633A, 2664A, 2665A, 2705A, 2724A, 2731A, 2738A, 2846A, 2867A, 2871A, 2880A, 2890A, 2899A, 2918A, 2930A, 2936A, 2959A, 2977A, 3042A, 3045A, 3095A, 3131A, 3152A, 3243A, 3249A, 3257A, 3263A, 3288A, 3325A, 3329A, 3345A, 3350A, 3362A, 3393A, 3403A, 3431A, 3445A, 3453A"
оол,оол,guy,[],"8A, 123A, 129A, 165A, 186A, 202A, 233A, 291A, 308A, 322A, 364A, 372A, 390A, 393A, 424A, 429A, 460A, 555A, 586A, 602A, 627A, 654A, 688A, 715A, 724A, 767A, 805A, 824A, 845A, 850A, 872A, 897A, 918A, 940A, 959A, 968A, 980A, 1006A, 1012A, 1026A, 1032A, 1081A, 1100A, 1103A, 1115A, 1123A, 1135A, 1148A, 1159A, 1177A, 1181A, 1190A, 1194A, 1200A, 1215A, 1233A, 1268A, 1304A, 1325A, 1347A, 1366A, 1517A, 1589A, 1639A, 1703A, 1708A, 1747A, 1759A, 1786A, 1795A, 1805A, 1837A, 1848A, 1855A, 1864A, 1941A, 1994A, 2016A, 2056A, 2160A, 2172A, 2188A, 2331A, 2359A, 2389A, 2403A, 2412A, 2428A, 2452A, 2468A, 2531A, 2532A, 2554A, 2562A, 2570A, 2583A, 2607A, 2610A, 2664A, 2665A, 2686A, 2690A, 2705A, 2724A, 2731A, 2738A, 2800A, 2846A, 2871A, 2880A, 2890A, 2899A, 2930A, 2936A, 2953A, 2959A, 2977A, 2991A, 3008A, 3042A, 3045A, 3095A, 3133A, 3152A, 3243A, 3249A, 3257A, 3288A, 3325A, 3329A, 3345A, 3376A, 3389A, 3393A, 3403A, 3413A, 3431A, 3445A, 3453A, 17B, 31B, 49B, 247B, 462B, 463B, 470B, 492B, 497B, 502B, 546B, 555B, 566B, 576B, 580B, 593B, 627B, 635B, 636B, 643B, 644B, 646B, 650B, 654B, 659B, 670B, 672B, 678B, 680B, 682B, 687B, 692B, 695B, 697B, 699B, 704B, 705B, 707B, 709B, 714B, 719B, 722B, 724B, 724B, 726B, 731B, 734B, 737B, 738B, 744B, 746B, 749B, 752B, 755B, 774B, 782B, 783B, 789B, 792B, 820B, 829B, 830B, 833B, 835B, 840B, 852B, 860B, 861B, 862B, 863B, 865B, 866B, 867B, 868B, 870B, 882B, 1205B, 1208B, 1243B, 1245B, 1385B, 1387B, 1392B, 269C, 282C, 290C, 291C, 292C, 301C, 306C, 314C, 322C, 327C, 338C, 342C, 344C, 349C, 351C, 367C, 370C, 381C, 384C, 720C, 725C, 767C, 804C, 811C, 812C, 818C, 823C, 824C, 841C, 843C, 847C, 859C, 862C, 890C"
дээр,дээр,concern,[],"8A, 73A, 73A, 139A, 141A, 203A, 610A, 626A, 738A, 905A, 1013A, 1017A, 1085A, 1087A, 1094A, 1096A, 1191A, 1198A, 1471A, 1739A, 2026A, 2029A, 2164A, 2166A, 2177A, 2195A, 2387A, 2398A, 2417A, 2419A, 2448A, 2470A, 2533A, 2542A, 2550A, 2829A, 3279A, 3432A, 19B, 20B, 377B, 381B, 685B, 712B, 750B, 837B, 1456B, 1554B, 47C, 76C, 80C, 99C, 132C, 248C, 277C, 358C, 359C, 424C, 707C, 712C, 1122C, 1123C, 1136C, 1207C, 1286C, 1386C, 1397C, 1398C, 1409C, 1528C, 1554C, 1652C, 1669C, 1679C, 1680C"
сес,сес,eight,[],"9A, 25A, 50A, 51A, 123A, 232A, 364A, 813A, 932A, 2246A, 2247A, 2249A, 2256A, 3485A, 514B, 517B, 517B, 1595B"
харлыг,хар,aged,['лыг (adjectival)'],"9A, 50A, 51A, 52A, 123A, 232A, 235A, 364A, 19B, 19B, 20B, 69C, 80C, 93C, 99C, 331C, 1384C, 1385C, 1737C"
бичии,бичии,little,[],"9A, 1341A, 1341A, 1720A, 3118A, 3120A, 285B, 654B, 660B, 909B, 943B, 979B, 996B, 997B, 1389B, 1474B, 1271C, 1377C, 1768C, 1771C, 1773C, 1777C"
оолдуг,оол,guy,['уг (adjectival)'],"9A, 1260C, 1262C"
даа,,,['даа (emphatic)'],"9A, 17A, 18A, 23A, 27A, 28A, 35A, 58A, 63A, 65A, 70A, 75A, 82A, 86A, 103A, 104A, 124A, 135A, 157A, 165A, 182A, 197A, 236A, 239A, 241A, 242A, 243A, 257A, 267A, 281A, 285A, 286A, 291A, 309A, 327A, 338A, 346A, 382A, 390A, 424A, 429A, 430A, 433A, 446A, 459A, 483A, 501A, 503A, 548A, 549A, 565A, 574A, 585A, 646A, 647A, 648A, 677A, 683A, 702A, 725A, 812A, 813A, 820A, 822A, 857A, 866A, 871A, 872A, 876A, 908A, 919A, 920A, 945A, 946A, 948A, 952A, 954A, 1092A, 1208A, 1219A, 1230A, 1231A, 1296A, 1354A, 1356A, 1392A, 1392A, 1448A, 1451A, 1469A, 1470A, 1473A, 1475A, 1481A, 1482A, 1485A, 1485A, 1510A, 1511A, 1512A, 1524A, 1526A, 1552A, 1559A, 1566A, 1593A, 1673A, 1674A, 1747A, 1752A, 1769A, 1903A, 1904A, 1942A, 2006A, 2011A, 2015A, 2054A, 2054A, 2079A, 2084A, 2085A, 2090A, 2108A, 2113A, 2157A, 2158A, 2162A, 2173A, 2220A, 2223A, 2289A, 2300A, 2313A, 2333A, 2346A, 2371A, 2380A, 2384A, 2390A, 2413A, 2428A, 2440A, 2447A, 2530A, 2532A, 2565A, 2566A, 2582A, 2615A, 2616A, 2733A, 2734A, 2758A, 2759A, 2938A, 2940A, 2943A, 2954A, 3019A, 3020A, 3093A, 3159A, 3160A, 3272A, 3274A, 10B, 59B, 62B, 71B, 85B, 88B, 90B, 98B, 118B, 136B, 143B, 144B, 145B, 145B, 146B, 157B, 158B, 160B, 174B, 178B, 180B, 194B, 199B, 201B, 222B, 271B, 276B, 277B, 285B, 296B, 330B, 340B, 382B, 476B, 511B, 516B, 519B, 569B, 570B, 570B, 570B, 582B, 616B, 629B, 653B, 663B, 664B, 686B, 712B, 714B, 728B, 766B, 792B, 794B, 812B, 850B, 860B, 865B, 894B, 897B, 897B, 899B, 916B, 917B, 933B, 934B, 936B, 940B, 944B, 967B, 970B, 976B, 982B, 994B, 1042B, 1069B, 1085B, 1085B, 1086B, 1099B, 1114B, 1116B, 1132B, 1150B, 1154B, 1157B, 1157B, 1179B, 1196B, 1274B, 1321B, 1356B, 1358B, 1463B, 1464B, 1528B, 1535B, 1536B, 1537B, 1537B, 1552B, 1554B, 1554B, 1612B, 12C, 23C, 41C, 91C, 93C, 102C, 117C, 137C, 147C, 147C, 160C, 180C, 197C, 202C, 222C, 269C, 285C, 292C, 331C, 332C, 346C, 346C, 381C, 384C, 384C, 395C, 404C, 421C, 422C, 423C, 428C, 493C, 526C, 543C, 569C, 585C, 590C, 595C, 597C, 599C, 606C, 629C, 636C, 640C, 646C, 661C, 668C, 673C, 675C, 680C, 715C, 769C, 792C, 797C, 804C, 805C, 818C, 819C, 841C, 854C, 857C, 866C, 905C, 908C, 908C, 955C, 1067C, 1069C, 1102C, 1120C, 1137C, 1140C, 1163C, 1205C, 1226C, 1233C, 1259C, 1271C, 1287C, 1299C, 1300C, 1312C, 1312C, 1361C, 1397C, 1420C, 1421C, 1426C, 1437C, 1448C, 1456C, 1464C, 1468C, 1497C, 1501C, 1532C, 1583C, 1584C, 1592C, 1616C, 1616C, 1635C, 1663C, 1665C, 1666C, 1666C, 1672C, 1673C, 1673C, 1685C, 1693C, 1696C, 1697C, 1697C, 1714C, 1719C, 1719C, 1726C, 1728C, 1736C, 1769C"
чуве,,,['чу (verbalizer)'],"9A, 281A, 2929A, 3279A"
иргин,,,"['ир (participle)', 'ин (reflexive)']","9A, 18A, 28A, 63A, 281A, 327A, 382A, 424A, 483A, 574A, 586A, 715A, 812A, 814A, 857A, 920A, 992A, 1232A, 1258A, 1369A, 1639A, 2220A, 2346A, 2380A, 2385A, 2390A, 2447A, 2531A, 2993A, 3042A, 3138A, 3293A, 4B, 10B, 59B, 63B, 71B, 90B, 136B, 222B, 271B, 296B, 340B, 456B, 886B, 1002B, 1004B, 1011B, 1013B, 1015B, 1018B, 1020B, 1026B, 1028B, 1031B, 1032B, 1037B, 1046B, 1062B, 1072B, 1075B, 1078B, 1089B, 1095B, 1097B, 1100B, 1104B, 1108B, 1111B, 1113B, 1115B, 1118B, 1121B, 1134B, 1139B, 1146B, 1172B, 1213B, 1250B, 1294B, 1320B, 1321B, 1356B, 1360B, 1362B, 1497B, 3C, 25C, 27C, 42C, 139C, 164C, 189C, 197C, 206C, 211C, 248C, 257C, 293C, 298C, 329C, 332C, 334C, 337C, 340C, 341C, 344C, 354C, 363C, 374C, 380C, 383C, 550C, 554C, 570C, 662C, 691C, 695C, 908C, 1088C, 1146C, 1148C, 1203C, 1205C, 1313C, 1413C, 1421C, 1450C, 1458C, 1463C, 1480C, 1484C, 1516C, 1537C, 1543C, 1548C, 1563C, 1596C, 1616C, 1644C, 1708C, 1736C, 1770C, 1779C"
кадайныу,кадай,wife,['ны (accusative)'],10A
чоогунга,чоог,proximity,"['ун (reflexive)', 'га (dative)']","10A, 83A, 274A, 426C, 850C, 1505C"
буга,буга,bull,[],"11A, 61A, 544A, 599A, 621A, 1062A, 1412A, 1462A, 1473A, 1512A, 1806A, 2203A, 2290A, 2291A, 2485A, 2837A, 2916A, 2943A, 2949A, 2959A, 844C, 858C, 874C, 877C, 883C"
кара,кара,dark blue,[],"11A, 12A, 61A, 62A, 409A, 476A, 485A, 544A, 599A, 600A, 621A, 622A, 634A, 635A, 670A, 675A, 682A, 710A, 779A, 783A, 785A, 786A, 793A, 832A, 834A, 835A, 838A, 839A, 842A, 848A, 874A, 900A, 921A, 969A, 981A, 1021A, 1022A, 1250A, 1251A, 1252A, 1257A, 1277A, 1279A, 1335A, 1375A, 1412A, 1462A, 1463A, 1473A, 1475A, 1512A, 1558A, 1598A, 1602A, 1604A, 1616A, 1636A, 1662A, 1696A, 1700A, 1737A, 1764A, 1778A, 1789A, 1817A, 1821A, 1843A, 1874A, 1933A, 1967A, 1974A, 2025A, 2027A, 2028A, 2029A, 2039A, 2045A, 2046A, 2047A, 2075A, 2141A, 2160A, 2162A, 2167A, 2196A, 2204A, 2240A, 2266A, 2280A, 2284A, 2339A, 2358A, 2360A, 2372A, 2375A, 2396A, 2400A, 2401A, 2410A, 2413A, 2414A, 2430A, 2436A, 2455A, 2469A, 2484A, 2490A, 2495A, 2519A, 2523A, 2541A, 2546A, 2560A, 2562A, 2565A, 2566A, 2568A, 2855A, 2947A, 2980A, 3018A, 3027A, 3070A, 3073A, 3103A, 3187A, 3301A, 3302A, 3318A, 3322A, 3331A, 3351A, 3367A, 3368A, 3429A, 0B, 13B, 14B, 31B, 48B, 61B, 78B, 94B, 102B, 108B, 112B, 124B, 127B, 130B, 138B, 149B, 176B, 177B, 188B, 196B, 197B, 218B, 227B, 240B, 246B, 300B, 309B, 313B, 376B, 389B, 400B, 416B, 431B, 436B, 438B, 442B, 449B, 461B, 463B, 505B, 554B, 594B, 604B, 605B, 656B, 665B, 841B, 841B, 912B, 1001B, 1002B, 1003B, 1003B, 1004B, 1014B, 1031B, 1034B, 1042B, 1054B, 1060B, 1071B, 1092B, 1097B, 1110B, 1113B, 1114B, 1114B, 1115B, 1119B, 1127B, 1132B, 1134B, 1137B, 1144B, 1155B, 1164B, 1165B, 1171B, 1174B, 1363B, 1498B, 1533B, 1563B, 1581B, 1583B, -1C, 44C, 50C, 63C, 85C, 89C, 294C, 296C, 309C, 311C, 318C, 331C, 332C, 367C, 389C, 395C, 399C, 400C, 413C, 478C, 505C, 511C, 587C, 628C, 630C, 632C, 632C, 633C, 652C, 659C, 664C, 665C, 666C, 670C, 676C, 677C, 677C, 684C, 685C, 685C, 689C, 689C, 694C, 696C, 700C, 703C, 722C, 726C, 747C, 761C, 766C, 779C, 803C, 829C, 836C, 842C, 848C, 855C, 1241C, 1507C, 1508C, 1514C, 1529C, 1724C"
аъттыг,аът,horse,['ыг (nominalizer)'],"11A, 929A, 1412A, 2028A, 3076A, 3090A, 460B, 1503B, 633C, 672C, 705C, 911C, 1236C"
кадыг,кадыг,"hard, firm",[],"12A, 62A, 600A, 622A, 792A, 838A, 1275A, 1463A, 1475A, 1507C"
чалыг,ча,bow,['лыг (adjectival)'],"12A, 722A, 2027A"
булутай,булут,cloud,[],"13A, 14A, 71A, 160A, 204A, 225A, 250A, 258A, 329A, 339A, 380A, 384A, 407A, 440A, 451A, 487A, 543A, 566A, 583A, 587A, 684A, 719A, 754A, 764A, 1362A, 1413A, 1419A, 1525A, 1643A, 1656A, 1706A, 2885A, 3448A, 3454A"
эте,,,['те (verbalizer)'],13A
