Word,Root,Gloss,Morphemes,Line Numbers
анайныӊ,анай,goat kid,['ны (accusative)'],"1104C, 1144C"
шиштеп,,,"['иш (reciprocal)', 'те (verbalizer)']","1104C, 1105C, 1118C, 1121C, 1122C"
бүрүлүг,бүрүлүг,conifer,[],"1105C, 1112C, 1118C, 1122C"
мыяктап,,,['тап (plural)'],1106C
төктү,,,['тү (past tense 3rd)'],1107C
мынчанган,,,"['ын (reflexive)', 'ан (participle)', 'ган (participle)']",1110C
быганыӊ,,,"['га (dative)', 'ны (accusative)']",1112C
уругларыныӊ,уруг,1. daughter 2. small child of either gender,"['лар (plural)', 'ны (accusative)']","1112C, 1125C"
шиштээш,,,['иш (reciprocal)'],1113C
чоорган,чоорган,blanket,[],1113C
шуглагылац,,,"['уг (adjectival)', 'ла (verbalizer)', 'гыла (iterative aspect)']",1113C
_оптуг,,,['уг (adjectival)'],1114C
үӊгүр,,,['үр (causative)'],1114C
уругларымныӊ,уруг,1. daughter 2. small child of either gender,"['лар (plural)', 'ым (posessive 1st singular)', 'ны (accusative)']",1117C
угаанныын,угаанныы,prudence,[],1117C
экизин,экизи,goodness,[],1117C
алганнары,а,but,"['ган (participle)', 'нар (plural)']",1119C
баарны,баар,drive,['ны (accusative)'],1121C
баарым,баары,"visit, going",[],1121C
парт,пар,tiger,[],1121C
бүүректи,бүүрек,kidney,['ти (past tense)'],1122C
бүүрээм,,,['үр (causative)'],1123C
пурт,,,['ур (aorist)'],1123C
чоорганын,чоорган,blanket,['ын (reflexive)'],1124C
тарга,тар,"tight, narrow",['га (dative)'],1125C
баштары,баш,"1. head, 2. beginning, origin, source, 3. top, tip, end, 4. head (of livestock)",['ар (verbal noun)'],1125C
коңгурткайнып,,,"['ур (aorist)', 'кай (possibility or potential)', 'ып (circumstantial)']",1125C
үүлгеткен,,,"['лге (nominalizer)', 'кен (participle)']",1127C
дөрге,дөр,honorable place of the master of the home,['ге (dative)'],1129C
эжикте,эжик,door,['те (verbalizer)'],1130C
пат,пат,naive,[],1130C
өлүрерил,өлүрери,murder,[],1131C
эп,,,[],1131C
үӊгүрден,,,"['үр (causative)', 'ден (ablative)']",1133C
халыырымга,халыыры,jump(ing),['га (dative)'],1133C
сүге,сүге,axe,[],1134C
сүгезин,сүге,axe,['зин (volitive 3rd singular)'],1135C
үтүр,,,['үр (causative)'],1136C
чаваан,ча,bow,"['ва (negative)', 'ан (participle)']",1138C
шываш,,,"['шы (verbalizer)', 'аш (circumstantial)']","1141C, 1142C"
эргээм,эр,husband (outdated) (literally - man),[],"1141C, 1142C"
кеспес,,,"['ке (dative)', 'пе (negative)']","1141C, 1142C"
чүзүл,,,"['чү (verbalizer)', 'зү (verbalizer)']","1142C, 1233C"
