Word,Line Numbers
оваадай,"122A, 307A, 363A, 413A, 474A, 596A, 1027A"
бөрттүг,"122A, 179A, 307A, 363A, 21C, 31C, 588C, 671C, 859C, 874C, 877C, 884C"
олуруп,"123A, 144A, 309A, 386A, 417A, 420A, 428A, 450A, 459A, 565A, 582A, 601A, 620A, 653A, 657A, 745A, 763A, 836A, 844A, 896A, 908A, 935A, 950A, 990A, 1029A, 1044A, 1048A, 1069A, 1105A, 1134A, 1145A, 1324A, 1330A, 1333A, 1364A, 1456A, 1467A, 1518A, 1524A, 1546A, 1566A, 1786A, 1791A, 1829A, 1834A, 1864A, 1894A, 2008A, 2036A, 2058A, 2058A, 2060A, 2084A, 2122A, 2135A, 2356A, 2361A, 2407A, 2574A, 2631A, 2643A, 2646A, 2651A, 2660A, 2664A, 2774A, 2779A, 2793A, 2845A, 2864A, 3015A, 3040A, 3056A, 3201A, 3205A, 3210A, 3213A, 3216A, 3219A, 3261A, 3324A, 3466A, 281B, 439B, 498B, 577B, 900B, 904B, 913B, 914B, 921B, 924B, 927B, 937B, 940B, 943B, 964B, 1006B, 1025B, 1074B, 1110B, 1191B, 1227B, 1264B, 1324B, 1330B, 1337B, 1344B, 1351B, 1378B, 1391B, 1465B, 1568B, 1571B, 1575B, 13C, 25C, 27C, 63C, 328C, 348C, 365C, 384C, 427C, 758C, 758C, 810C, 945C, 950C, 956C, 971C, 1060C, 1063C, 1071C, 1081C, 1098C, 1114C, 1114C, 1136C, 1236C, 1257C, 1496C, 1506C, 1777C"
оолду,"124A, 381A, 567A, 815A, 1289A, 1370A, 1529A, 2421A, 2455A, 2492A, 2497A, 2603A, 2624A, 2633A, 2867A, 3004A, 488B, 491B, 634B, 674B, 676B, 677B, 701B, 703B, 704B, 733B, 735B, 743B, 796B, 800B, 842B, 843B, 1414B, 333C, 355C, 360C, 854C, 869C"
көргеш,"124A, 662A, 936A, 938A, 2683A, 576B, 1185B, 1222B, 1411B, 1532B, 172C, 454C, 744C, 833C, 854C, 859C, 1192C, 1388C, 1391C"
доӊтая,"125A, 2269A, 3395A"
дүжүп,"125A, 127A, 302A, 337A, 338A, 851A, 857A, 1340A, 1342A, 1479A, 1690A, 1837A, 2262A, 2557A, 2561A, 2680A, 2753A, 2949A, 3108A, 3110A, 507B, 1080B, 1091B, 1092B, 1111B, 1129B, 1130B, 400C, 401C"
довурак,"126A, 2795A"
пактап,"126A, 128A, 676A"
күстүге,127A
хүл,"128A, 437A, 2561A, 3461A, 103C, 107C, 122C, 1628C"
турлдар,"128A, 163A"
биеэги,"129A, 251A, 1380A, 1453A, 1954A, 2865A, 3064A, 1517B, 1546B, 1548B, 1551B, 1558B, 1532C"
тура,"129A, 443A, 968A, 1020A, 1083A, 1131A, 1209A, 1274A, 1312A, 1317A, 1697A, 1838A, 2091A, 2285A, 2331A, 2453A, 2753A, 2909A, 2949A, 2987A, 3078A, 3126A, 3133A, 3305A, 92B, 93B, 98B, 101B, 103B, 112B, 113B, 121B, 123B, 124B, 125B, 166B, 270B, 575B, 604B, 738B, 843B, 846B, 847B, 852B, 930B, 930B, 1319B, 1441B, 1443B, 341C, 789C, 799C, 1211C, 1217C, 1228C, 1230C, 1237C, 1268C, 1274C, 1351C, 1756C, 1757C"
халааш,"129A, 1286A, 3431A, 575B, 779B, 948B, 949B, 956B, 986B, 1599B, 1605B, 341C, 1237C, 1715C, 1756C"
карачал,"130A, 388A, 408A, 415A, 529A, 1551A, 1557A, 1576A, 347C, 376C, 378C"
көргенде,130A
албатылары,"131A, 445A"
бедээш,131A
ххаваанда,132A
довураан,"132A, 133A, 2040A, 2065A, 2293A"
адыжы,"132A, 1611B"
биле,"132A, 133A, 284A, 323A, 344A, 401A, 402A, 419A, 430A, 544A, 560A, 562A, 567A, 641A, 656A, 666A, 667A, 682A, 711A, 827A, 895A, 906A, 1023A, 1125A, 1127A, 1139A, 1141A, 1150A, 1162A, 1223A, 1238A, 1241A, 1244A, 1245A, 1294A, 1400A, 1405A, 1472A, 1521A, 1523A, 1527A, 1554A, 1555A, 1627A, 1637A, 1693A, 1696A, 1764A, 1798A, 1798A, 1831A, 1874A, 1897A, 1907A, 1908A, 1924A, 1976A, 2107A, 2150A, 2160A, 2213A, 2232A, 2264A, 2301A, 2317A, 2319A, 2321A, 2358A, 2360A, 2361A, 2388A, 2442A, 2444A, 2470A, 2473A, 2494A, 2496A, 2535A, 2536A, 2538A, 2579A, 2583A, 2586A, 2586A, 2587A, 2596A, 2598A, 2626A, 2731A, 2742A, 2745A, 2748A, 2775A, 2804A, 2865A, 2872A, 2925A, 2944A, 2946A, 2948A, 3003A, 3004A, 3007A, 3046A, 3047A, 3091A, 3093A, 3096A, 3098A, 3213A, 3216A, 3219A, 3240A, 3279A, 3360A, 3400A, 3410A, 3424A, 3435A, 3436A, 3461A, 3495A, 13B, 14B, 48B, 168B, 206B, 276B, 277B, 391B, 471B, 494B, 507B, 520B, 525B, 627B, 635B, 690B, 694B, 779B, 825B, 825B, 833B, 857B, 878B, 894B, 898B, 940B, 970B, 982B, 1021B, 1030B, 1045B, 1117B, 1125B, 1319B, 1383B, 1387B, 1407B, 1450B, 1500B, 1533B, 1548B, 1556B, 1611B, 21C, 31C, 31C, 90C, 97C, 97C, 103C, 107C, 163C, 167C, 167C, 170C, 178C, 180C, 181C, 187C, 188C, 191C, 194C, 282C, 391C, 461C, 475C, 515C, 553C, 555C, 556C, 588C, 588C, 595C, 630C, 645C, 715C, 717C, 718C, 735C, 740C, 746C, 761C, 763C, 771C, 775C, 838C, 850C, 867C, 869C, 891C, 923C, 996C, 1033C, 1034C, 1131C, 1134C, 1319C, 1323C, 1388C, 1398C, 1399C, 1403C, 1403C, 1406C, 1428C, 1451C, 1526C, 1527C, 1555C, 1648C, 1651C, 1675C, 1703C, 1776C"
чодуп,132A
караанда,133A
дылы,"133A, 2141A, 2432A"
аштап,"133A, 1114B, 1114B, 1156B, 1202C, 1308C, 1312C, 1328C"
ховайты,134A
соп,"134A, 1020A, 1035A, 1056A, 1066A, 1068A, 2100A, 2481A, 2487A, 2512A, 2656A, 2788A, 2937A, 2961A, 2987A, 169B, 213B, 658B, 669B, 722B, 826B, 1165B, 1249B, 1250B, 1285B, 1409B, 1458B, 1597B, 412C, 421C, 428C, 430C, 434C, 486C, 519C, 520C, 521C, 772C, 802C, 880C, 941C, 943C, 943C, 944C, 953C, 983C, 1006C, 1227C, 1233C, 1766C"
оолдун,"136A, 219A, 1298A, 1358A, 3107A, 3119A, 838B, 858B, 353C"
чараш,"137A, 177A, 292A, 309A, 365A, 436A, 80B, 237B, 307B, 395B, 472B, 688B, 841B, 1378B, 1401B, 1410B, 1412B, 1414B, 1447B, 1476B, 196C, 407C, 415C, 773C, 834C, 839C, 861C, 891C"
чаагайынга,137A
эртен,"138A, 2163A, 2192A, 2416A, 3338A, 3357A, 3386A, 48B, 147B, 292B, 323B, 513B, 523B, 591B, 599B, 649B, 650B, 654B, 659B, 682B, 687B, 692B, 709B, 715B, 719B, 726B, 856B, 1029B, 4C, 60C, 102C, 117C, 127C, 134C, 138C, 190C, 389C, 413C, 423C, 498C, 505C, 518C, 524C, 575C, 873C, 876C, 878C, 916C, 1215C"
кайгаан,"138A, 140A"
боттары,"138A, 140A, 2304A"
кежээге,"139A, 2164A, 2193A, 2417A"
кежээ,"140A, 2165A, 2194A, 2418A, 8B, 38B, 171B, 192B, 217B, 1300B, 389C, 1124C"
эртенге,"141A, 2166A, 2195A, 2419A, 3237A"
кайгап,"141A, 145A, 298A, 314A, 608B, 978B, 805C"
отта,"142A, 162B, 203B"
салган,"142A, 367A, 2640A, 79C, 81C, 133C, 143C, 211C, 217C, 228C, 256C, 336C, 1617C"
кушкажын,142A
уттуп,143A
алган,"143A, 666A, 667A, 724A, 841A, 941A, 943A, 1017A, 1140A, 1165A, 1309A, 1596A, 1729A, 1815A, 1834A, 2089A, 2262A, 2281A, 2812A, 3208A, 3246A, 3247A, 3382A, 3420A, 3465A, 3484A, 18B, 18B, 32B, 135B, 167B, 171B, 192B, 218B, 290B, 436B, 438B, 439B, 455B, 464B, 498B, 509B, 523B, 523B, 524B, 598B, 614B, 619B, 671B, 698B, 730B, 861B, 866B, 913B, 1020B, 1041B, 1049B, 1060B, 1074B, 1104B, 1145B, 1191B, 1227B, 1264B, 1294B, 1306B, 1320B, 1537B, 1539B, 642C, 729C, 735C, 801C, 804C, 821C, 865C, 882C, 975C, 1048C, 1077C, 1099C, 1115C, 1138C, 1155C, 1278C, 1295C, 1344C, 1717C"
дүн,"144A, 317A, 1230A, 3057A, 507B, 513B, 522B"
хүн,"144A, 317A, 694A, 706A, 1024A, 1231A, 1416A, 1418A, 1506A, 1572A, 1633A, 1634A, 1980A, 2031A, 2050A, 2349A, 2578A, 2869A, 2992A, 3245A, 3370A, 23B, 207B, 252B, 348B, 600B, 606B, 613B, 1009B, 1054B, 1064B, 1091B, 1141B, 1173B, 1551B, 397C, 397C, 490C, 727C, 745C, 768C, 790C, 808C, 819C, 1419C, 1539C"
улай,"144A, 1005A, 1024A, 3106A, 1433B, 1433B, 1434B, 606C, 699C, 699C, 1201C, 1202C"
кээп,"144A, 303A, 515A, 579A, 668A, 689A, 724A, 1025A, 1059A, 1120A, 1143A, 1151A, 1169A, 1173A, 1179A, 1195A, 1217A, 1331A, 1374A, 1389A, 1581A, 1590A, 1597A, 1604A, 1697A, 1753A, 1771A, 1778A, 1804A, 1821A, 1838A, 1910A, 1922A, 1962A, 2097A, 2113A, 2118A, 2136A, 2246A, 2269A, 2285A, 2337A, 2369A, 2375A, 2396A, 2404A, 2489A, 2491A, 2498A, 2499A, 2571A, 2598A, 2688A, 2715A, 2853A, 2996A, 3106A, 3247A, 3290A, 3423A, 16B, 87B, 273B, 314B, 315B, 492B, 506B, 644B, 843B, 970B, 1377B, 1406B, 1418B, 1425B, 1444B, 1448B, 1484B, 1504B, 1545B, 1559B, 1579B, 1601B, 1606B, 24C, 48C, 105C, 177C, 288C, 516C, 574C, 952C, 1009C, 1034C, 1177C, 1184C, 1242C, 1245C, 1254C, 1262C, 1314C, 1324C, 1397C, 1401C, 1474C, 1521C, 1568C, 1585C, 1599C, 1609C, 1617C, 1636C, 1641C, 1642C"
тирлер,"144A, 180A, 303A, 379A, 481A, 614A, 877A, 917A, 967A, 979A, 1011A, 1031A, 1189A, 1247A, 1771A, 1868A, 1922A, 1962A, 2078A, 2088A, 2154A, 2228A, 2246A, 2258A, 2307A, 2366A, 2625A, 2744A, 2753A, 3021A, 3425A, 983B, 1418B, 1484B, 1493B, 1579B, 1607B, 788C, 1034C, 1216C, 1221C"
чүнү,"145A, 619A, 2121A, 2122A, 3276A, 106B, 128B, 130B, 132B, 259B, 427B, 873B, 873B, 1051B, 1058B, 1063B, 1149B, 1150B, 1153B, 1154B, 1159B, 137C, 219C, 303C, 316C, 323C, 395C, 1062C, 1264C, 1476C, 1476C, 1574C, 1670C, 1690C, 1703C"
олурар,"145A, 292A, 903A, 956A, 958A, 1291A, 1295A, 1357A, 1721A, 1836A, 2848A, 3463A, 24B, 24B, 185B, 197B, 238B, 239B, 242B, 254B, 267B, 346B, 420B, 655B, 715B, 845B, 848B, 1312B, 1316B, 15C, 291C, 580C, 741C, 781C, 805C, 1759C"
хаалар,"145A, 41C"
силер,"145A, 206A, 212A, 213A, 956A, 1977A, 1990A, 2361A, 3442A, 40B, 42B, 121B, 121B, 230B, 231B, 242B, 256B, 259B, 262B, 346B, 355B, 374B, 399B, 409B, 409B, 433B, 657B, 667B, 1009B, 1010B, 1011B, 1301B, 1506B, 1509B, 1509B, 1553B, 210C, 210C, 216C, 219C, 228C, 238C, 243C, 248C, 303C, 303C, 605C, 605C, 623C, 688C, 691C, 741C, 791C, 792C, 798C, 879C, 880C, 1136C, 1491C, 1578C, 1580C, 1592C, 1602C, 1611C, 1669C, 1683C, 1729C"
херектиг,146A
херээӊер,147A
сөглеӊер,147A
херек,"148A, 224B, 465B, 569B, 570B, 586B, 1474B, 1523B, 758C, 917C, 1397C, 1726C"
болзуңарза,"148A, 376A, 42B, 605C"
үнүп,"149A, 1010A, 1013A, 1017A, 1104A, 1336A, 1338A, 1880A, 1882A, 2171A, 2200A, 2201A, 2868A, 2935A, 3068A, 3150A, 3221A, 3232A, 3350A, 3364A, 3376A, 3393A, 3404A, 306B, 307B, 319B, 338B, 347B, 351B, 356B, 381B, 419B, 540B, 611B, 623B, 715B, 720B, 842B, 872B, 1164B, 1184B, 1185B, 1198B, 1220B, 1222B, 1239B, 1257B, 1259B, 1276B, 1357B, 1484B, 1491B, 1601B, 448C, 546C, 1073C, 1295C, 1608C"
чоруӊар,149A
кылбыжым,150A
хайындыргаш,"150A, 152A"
кырган,"151A, 324A, 426A, 480A, 745A, 1351A, 1353A, 1542A, 2822A, 3258A, 3443A, 716B, 721B, 741B, 770B, 815B, 1003B, 1005B, 356C, 362C, 390C, 394C, 424C, 434C, 437C, 1251C"
адам,"151A, 153A, 693A, 768A, 884A, 1579A, 2542A, 3281A"
ием,"151A, 153A, 693A, 884A, 1542A, 1579A, 2541A, 3443A, 848B, 362C"
суксунун,151A
чандырар,"151A, 153A"
чөвүрээм,152A
ажын,153A
мендеп,"153A, 755A, 957A, 1523A, 1545A, 2663A, 3041A, 3261A"
є,"154A, 2842A"
отка,"154A, 367A, 478C"
быжырган,154A
кужунуӊ,"154A, 173A"
хүлү,"155A, 176A, 370A"
хадый,"155A, 370A"
сөөгү,"156A, 369A, 404A, 406A, 2499A, 2525A, 2833A, 1222C"
өртени,156A
берген,"156A, 370A, 506A, 507A, 654A, 740A, 831A, 913A, 1232A, 1355A, 1861A, 1862A, 2141A, 2775A, 2796A, 3091A, 3411A, 3460A, 3464A, 17B, 59B, 62B, 67B, 157B, 160B, 170B, 178B, 181B, 189B, 191B, 201B, 202B, 250B, 280B, 291B, 333B, 341B, 383B, 394B, 394B, 431B, 507B, 526B, 545B, 579B, 584B, 586B, 662B, 664B, 753B, 756B, 781B, 798B, 802B, 827B, 859B, 862B, 863B, 867B, 868B, 883B, 947B, 950B, 954B, 957B, 979B, 985B, 1006B, 1013B, 1016B, 1021B, 1033B, 1044B, 1046B, 1050B, 1055B, 1061B, 1069B, 1097B, 1098B, 1106B, 1116B, 1121B, 1126B, 1127B, 1134B, 1135B, 1148B, 1209B, 1218B, 1230B, 1246B, 1255B, 1285B, 1321B, 1384B, 1408B, 1419B, 1440B, 1443B, 1445B, 1477B, 1600B, 1610B, 14C, 14C, 27C, 40C, 65C, 87C, 172C, 188C, 197C, 299C, 372C, 400C, 403C, 407C, 411C, 425C, 434C, 595C, 653C, 661C, 764C, 777C, 796C, 831C, 835C, 839C, 902C, 930C, 942C, 1005C, 1059C, 1073C, 1074C, 1082C, 1091C, 1094C, 1101C, 1157C, 1169C, 1178C, 1185C, 1287C, 1308C, 1352C, 1353C, 1372C, 1385C, 1644C, 1704C, 1706C, 1712C, 1713C, 1714C, 1718C, 1725C, 1746C"
үне,"158A, 471A, 827A, 829A, 1036A, 1059A, 1060A, 1286A, 1310A, 1317A, 1590A, 1604A, 1683A, 1748A, 1753A, 1771A, 2400A, 2404A, 2851A, 3245A, 3411A, 157B, 178B, 199B, 342B, 505B, 507B, 547B, 605B, 857B, 862B, 867B, 876B, 929B, 986B, 1476B, 436C, 795C, 1076C, 1091C, 1094C, 1133C, 1137C, 1384C, 1429C, 1508C, 1715C"
кире,"158A, 293A, 355A, 658A, 1273A, 1497A, 1735A, 1823A, 1825A, 1978A, 2436A, 159B, 170B, 180B, 191B, 214B, 214B, 215B, 228B, 269B, 341B, 497B, 624B, 655B, 664B, 848B, 853B, 859B, 864B, 869B, 929B, 1047B, 1144B, 1599B, 403C, 661C, 900C, 1059C, 1294C, 1713C"
халышкан,158A
үрүледир,159A
сымырашкан,159A
дөмей,"160A, 1527A, 1693A, 494B, 645C"
бисти,"161A, 907A, 26B, 27B, 35B, 54B, 347B, 348B, 363B, 366B, 929B, 272C, 538C, 619C, 619C, 694C, 1734C"
каар,"161A, 788A, 1580A, 2238A, 2318A, 2631A, 164B, 169B, 190B, 230B, 407B, 1007B, 1009B, 1433B, 1433B, 1537B, 459C, 486C, 741C, 1130C, 1551C, 1560C, 1576C, 1604C, 1614C"
буъдуктуг,162A
ыяш,"162A, 3063A, 3215A, 408B, 587B, 595B, 672B, 699B, 731B, 880B, 19C, 34C, 37C, 771C, 909C, 910C, 1104C, 1105C, 1724C"
чидиг,163A
бижек,163A
кайдал,"163A, 1851A, 258B, 552B"
дижип,"163A, 245A, 908A, 935A, 950A, 967A, 1416A, 1418A, 1757A, 2307A, 2757A, 3021A, 3339A, 3470A, 137B, 914B, 1421B, 1478B, 778C, 1221C"
чүден,"164A, 1106B, 1107B"
коргуп,"164A, 371A"
сүртеп,164A
турарыӊар,164A
ол,"164A, 180A, 300A, 747A, 784A, 786A, 825A, 833A, 843A, 875A, 875A, 960A, 1070A, 1074A, 1213A, 1332A, 1394A, 1508A, 1519A, 1654A, 1656A, 1664A, 1666A, 1753A, 1781A, 1793A, 1805A, 1901A, 1912A, 1930A, 1941A, 1959A, 2239A, 2309A, 2465A, 2466A, 2562A, 2685A, 2686A, 2747A, 2831A, 2833A, 2860A, 2868A, 2902A, 2916A, 2994A, 3021A, 3037A, 3058A, 3079A, 3082A, 3084A, 3116A, 3141A, 3142A, 3146A, 3147A, 3169A, 3186A, 3202A, 3220A, 3230A, 3256A, 3272A, 3284A, 3286A, 3289A, 3330A, 3366A, 3369A, 3406A, 3409A, 3422A, 3447A, 4B, 7B, 11B, 18B, 46B, 67B, 72B, 77B, 91B, 95B, 111B, 141B, 141B, 142B, 200B, 237B, 251B, 258B, 261B, 263B, 291B, 297B, 324B, 325B, 328B, 328B, 329B, 335B, 337B, 367B, 385B, 393B, 393B, 397B, 422B, 448B, 450B, 459B, 463B, 466B, 470B, 472B, 484B, 505B, 507B, 514B, 575B, 594B, 627B, 627B, 629B, 677B, 684B, 711B, 712B, 752B, 766B, 783B, 792B, 792B, 811B, 830B, 843B, 848B, 909B, 912B, 916B, 933B, 946B, 948B, 953B, 976B, 1010B, 1018B, 1028B, 1032B, 1053B, 1060B, 1091B, 1121B, 1167B, 1363B, 1376B, 1377B, 1405B, 1406B, 1408B, 1408B, 1411B, 1445B, 1447B, 1494B, 1516B, 1523B, 1526B, 1544B, 1562B, 1571B, 1579B, 1587B, 1590B, 1606B, 24C, 52C, 55C, 61C, 63C, 67C, 113C, 115C, 139C, 139C, 165C, 168C, 170C, 198C, 243C, 273C, 275C, 276C, 278C, 280C, 300C, 300C, 330C, 332C, 333C, 340C, 368C, 370C, 374C, 377C, 442C, 545C, 547C, 654C, 722C, 723C, 729C, 732C, 740C, 753C, 763C, 768C, 773C, 783C, 816C, 818C, 819C, 829C, 831C, 832C, 838C, 842C, 846C, 853C, 854C, 865C, 865C, 876C, 876C, 882C, 906C, 915C, 917C, 920C, 925C, 929C, 942C, 949C, 951C, 959C, 979C, 981C, 996C, 998C, 1004C, 1008C, 1008C, 1013C, 1016C, 1020C, 1030C, 1036C, 1038C, 1041C, 1073C, 1074C, 1075C, 1119C, 1134C, 1222C, 1239C, 1255C, 1255C, 1313C, 1313C, 1320C, 1357C, 1363C, 1444C, 1488C, 1549C, 1568C, 1599C, 1608C, 1664C, 1681C, 1693C, 1703C, 1704C, 1712C, 1725C, 1748C, 1773C, 1775C"
айтырып,"165A, 620A, 748A, 801A, 1087A, 1090A, 1698A, 1985A, 2122A, 3035A, 3079A, 3257A, 3277A, 3365A, 243B, 768B, 813B, 1084B, 1446B, 1506B, 1510B, 1542B, 1551B, 1560B, 1569B, 1571B, 146C, 960C, 979C, 1028C, 1130C, 1492C, 1572C, 1580C, 1600C, 1686C, 1690C, 1708C"
аргажок,"166A, 2137A, 2314A"
күжүр,"166A, 1674A, 1747A, 2109A, 2428A, 2532A, 354B, 882B, 1357B, 23C, 502C, 1088C, 1095C, 1111C, 1136C, 1143C"
дуӊмам,"166A, 2083A, 2255A, 1035B, 1440B"
арга,"167A, 816A, 1130A, 1296A, 1499A, 2371A, 3324A, 91B, 314B, 88C, 240C, 510C, 517C, 518C, 520C, 528C, 705C, 1202C, 1398C, 1403C, 1501C, 1545C, 1546C, 1657C, 1694C, 1737C"
сүмеден,167A
көр,"167A, 907A, 1487A, 1500A, 2643A, 2650A, 2798A, 2951A, 2952A, 527B, 574B, 728B, 1574B, 817C, 1368C, 1373C, 1463C"
авыгайныӊ,"168A, 991A, 1098A, 1130A"
хонук,"168A, 282A, 442A, 2840A, 2870A, 3167A, 747B, 787B, 806B, 834B, 836B, 1666C, 1673C, 1696C"
кылдыр,"171A, 279A, 320A, 326A, 351A, 394A, 396A, 437A, 713A, 1121A, 1450A, 1626A, 1817A, 1818A, 1884A, 1954A, 2491A, 2561A, 2726A, 3053A, 3055A, 3483A, 290B, 373B, 383B, 414B, 674B, 701B, 797B, 858B, 863B, 868B, 1104B, 1114B, 1304B, 1460B, 1546B, 59C, 114C, 199C, 506C, 881C, 1022C, 1043C, 1044C, 1137C, 1435C, 1635C"
эъди,"173A, 367A, 1388A, 1390A, 2311A, 2458A, 2480A, 2485A, 2502A, 2529A, 3059A, 3059A, 3209A, 42B, 339C, 339C, 357C, 368C, 540C, 1042C, 1517C, 1666C, 1673C, 1696C"
өртенгеш,"173A, 175A, 367A"
узү,174A
эстип,"174A, 368A"
сөөгу,175A
хады,176A
силерни,"177A, 257B, 351B, 359B, 482B, 484B, 1583B, 152C, 212C, 260C, 584C, 610C, 745C, 748C, 888C, 1255C, 1331C, 1340C, 1345C, 1368C"
каазыӊарны,177A
кайгаар,"177A, 436A, 445A, 813C"
дээш,"177A, 208A, 220A, 260A, 280A, 334A, 352A, 366A, 381A, 418A, 436A, 470A, 605A, 664A, 695A, 700A, 768A, 837A, 915A, 1000A, 1019A, 1038A, 1376A, 1404A, 1606A, 1612A, 1689A, 1741A, 1843A, 1845A, 1888A, 1896A, 1908A, 1937A, 1947A, 2007A, 2064A, 2207A, 2251A, 2253A, 2265A, 2308A, 2426A, 2437A, 2563A, 2604A, 2606A, 2623A, 2715A, 2721A, 2765A, 2830A, 2831A, 2894A, 2954A, 2955A, 3002A, 3145A, 3183A, 3223A, 3281A, 3323A, 3434A, 3450A, 3490A, 26B, 27B, 57B, 61B, 68B, 70B, 77B, 89B, 109B, 134B, 154B, 248B, 251B, 254B, 267B, 280B, 295B, 304B, 351B, 367B, 370B, 388B, 391B, 420B, 433B, 444B, 450B, 451B, 454B, 466B, 475B, 497B, 511B, 515B, 521B, 545B, 549B, 560B, 566B, 593B, 609B, 609B, 613B, 644B, 661B, 664B, 677B, 690B, 704B, 733B, 763B, 800B, 809B, 855B, 870B, 908B, 910B, 915B, 956B, 992B, 997B, 1015B, 1028B, 1036B, 1042B, 1044B, 1074B, 1112B, 1126B, 1128B, 1131B, 1142B, 1195B, 1285B, 1293B, 1303B, 1323B, 1326B, 1329B, 1333B, 1336B, 1336B, 1340B, 1343B, 1347B, 1350B, 1355B, 1394B, 1410B, 1413B, 1441B, 1441B, 1443B, 1448B, 1476B, 1501B, 1501B, 1533B, 1604B, 1610B, 56C, 70C, 94C, 176C, 177C, 192C, 198C, 233C, 284C, 333C, 340C, 344C, 361C, 368C, 382C, 398C, 416C, 417C, 422C, 429C, 436C, 440C, 446C, 449C, 452C, 455C, 458C, 461C, 463C, 465C, 468C, 474C, 479C, 481C, 488C, 494C, 494C, 504C, 507C, 509C, 512C, 527C, 534C, 536C, 538C, 575C, 584C, 595C, 615C, 620C, 660C, 734C, 742C, 771C, 800C, 813C, 817C, 828C, 868C, 876C, 881C, 904C, 930C, 941C, 1022C, 1024C, 1044C, 1053C, 1064C, 1073C, 1080C, 1090C, 1101C, 1102C, 1104C, 1105C, 1119C, 1124C, 1130C, 1138C, 1142C, 1155C, 1162C, 1167C, 1171C, 1171C, 1176C, 1178C, 1183C, 1188C, 1193C, 1214C, 1226C, 1239C, 1348C, 1351C, 1355C, 1361C, 1364C, 1365C, 1366C, 1371C, 1379C, 1380C, 1382C, 1397C, 1424C, 1442C, 1445C, 1452C, 1460C, 1469C, 1487C, 1524C, 1615C, 1683C, 1707C, 1717C, 1757C, 1763C, 1765C"
чеӊниг,"178A, 31C, 588C"
кырывыстан,178A
бажывыстан,179A
чарлырывыс,180A
дур,"180A, 2465A, 2466A, 2831A, 2833A, 2916A, 3146A, 3284A, 30B, 46B, 67B, 367B, 448B, 450B, 937B, 1091B, 1130B, 1190B, 1405B, 52C, 273C, 275C, 276C, 278C, 280C, 370C, 374C, 654C, 748C, 756C, 929C, 981C, 998C, 1119C, 1214C, 1239C, 1243C, 1247C, 1256C, 1375C, 1464C, 1497C, 1522C"
ийин,"180A, 683A, 1093A, 1445A, 1577A, 1589A, 1708A, 1943A, 30B, 59B, 63B, 71B, 90B, 136B, 249B, 653B, 686B, 781B, 827B, 915B, 1474B, 68C, 75C, 618C, 645C, 654C, 814C, 981C, 998C, 1404C, 1578C, 1733C, 1734C"
назы,"182A, 889B, 750C"
хары,182A
улїаткан,182A
аныяк,"183A, 194A, 324A, 612A, 758A, 1585A"
шимиткенир,183A
төлдүг,"185A, 1553B"
дээрге,"185A, 387A, 462A, 464A, 754A, 766A, 804A, 840A, 1077A, 1079A, 1196A, 1275A, 1277A, 1279A, 1284A, 1331A, 1487A, 1549A, 1550A, 1654A, 1707A, 1863A, 1990A, 2316A, 2318A, 2320A, 2493A, 2495A, 2572A, 2746A, 2905A, 2907A, 2917A, 2945A, 2947A, 3136A, 3137A, 3263A, 3352A, 3354A, 3395A, 3397A, 3487A, 25B, 26B, 27B, 34B, 81B, 95B, 98B, 101B, 115B, 118B, 130B, 133B, 168B, 173B, 193B, 275B, 276B, 287B, 294B, 309B, 312B, 318B, 352B, 383B, 394B, 399B, 408B, 441B, 727B, 737B, 761B, 807B, 850B, 854B, 860B, 865B, 876B, 912B, 959B, 982B, 1137B, 1249B, 1587B, 1592B, 151C, 272C, 403C, 406C, 470C, 473C, 477C, 482C, 520C, 785C, 811C, 860C, 1097C, 1230C, 1284C, 1308C, 1366C, 1373C, 1376C, 1682C, 1756C, 1759C, 1762C"
айыс,"187A, 373A"
үзүм,"187A, 373A"
үү,"187A, 373A, 770C"
боорзак,"187A, 373A"
эм,"187A, 374A, 1924A, 2822A, 3238A, 3358A, 3399A, 734C, 754C"
таӊ,"187A, 374A"
холуп,"187A, 374A"
карак,"188A, 1072A, 1247A, 1348A, 1725A, 1822A, 1909A, 1935A, 2110A, 2215A, 2234A, 2376A, 2551A, 2555A, 541C, 650C, 651C, 1514C, 1541C"
чигеш,"188A, 225A, 244A, 338A, 1120B, 1211B, 1212B, 1249B, 1358B"
карактанып,"189A, 238A"
төлденип,191A
аскак,"192A, 239A, 1413C, 1422C, 1429C, 1441C, 1468C, 1485C, 1503C, 1510C, 1517C, 1520C"
буттанып,"192A, 239A"
ашак,"193A, 389A, 514A, 523A, 545A, 582A, 620A, 628A, 745A, 748A, 770A, 807A, 1405A, 1468A, 1487A, 1488A, 1584A, 3130A, 50B, 493B, 548B, 548B, 550B, 582B, 585B, 631B, 888B, 892B, 894B, 897B, 1499B, 1534B, 2C, 8C, 23C, 28C, 32C, 42C, 46C, 57C, 65C, 72C, 78C, 105C, 113C, 118C, 124C, 170C, 171C, 178C, 188C, 633C, 636C, 641C, 642C, 644C, 648C, 654C, 656C, 661C, 908C, 908C, 914C, 919C, 922C, 924C, 927C, 929C, 930C, 1007C, 1008C, 1718C, 1768C, 1769C, 1771C, 1780C, 1781C, 1783C, 1788C"
шимиткенип,194A
кушту,"195A, 260A, 270A, 345A, 348A, 437A, 571B, 1463B, 1470B"
бүдүрүп,"195A, 2587A, 1519B, 1521B"
