Word,Line Numbers
чоруп,"7A, 13A, 63A, 76A, 84A, 108A, 267A, 299A, 398A, 696A, 702A, 736A, 745A, 774A, 979A, 981A, 988A, 1013A, 1017A, 1029A, 1035A, 1039A, 1044A, 1048A, 1051A, 1113A, 1129A, 1131A, 1141A, 1147A, 1192A, 1202A, 1290A, 1291A, 1292A, 1295A, 1303A, 1308A, 1324A, 1330A, 1346A, 1382A, 1387A, 1393A, 1647A, 1648A, 1652A, 1684A, 1753A, 1755A, 1793A, 1812A, 1882A, 1893A, 1900A, 1901A, 1911A, 1930A, 1939A, 1958A, 1959A, 2259A, 2298A, 2309A, 2321A, 2395A, 2451A, 2454A, 2475A, 2671A, 2675A, 2735A, 2742A, 2745A, 2765A, 2859A, 2860A, 2902A, 2994A, 3045A, 3056A, 3064A, 3077A, 3080A, 3174A, 3185A, 3196A, 3201A, 3202A, 3208A, 3210A, 3213A, 3215A, 3330A, 3383A, 3421A, 3422A, 3425A, 3440A, 3446A, 60B, 62B, 64B, 110B, 111B, 140B, 141B, 334B, 351B, 383B, 421B, 422B, 423B, 462B, 512B, 513B, 517B, 532B, 557B, 673B, 700B, 732B, 845B, 883B, 888B, 932B, 946B, 952B, 961B, 964B, 966B, 1009B, 1013B, 1016B, 1028B, 1030B, 1044B, 1046B, 1066B, 1068B, 1069B, 1097B, 1121B, 1127B, 1134B, 1154B, 1180B, 1216B, 1253B, 1308B, 1321B, 1327B, 1334B, 1341B, 1347B, 1374B, 1376B, 1388B, 1413B, 1424B, 1480B, 1493B, 1499B, 1502B, 1503B, 1516B, 1535B, 1536B, 1538B, 1578B, 1585B, 1590B, 1595B, 284C, 305C, 448C, 450C, 457C, 459C, 542C, 723C, 837C, 842C, 847C, 868C, 895C, 896C, 905C, 936C, 937C, 940C, 942C, 949C, 1004C, 1004C, 1011C, 1046C, 1056C, 1057C, 1058C, 1058C, 1077C, 1081C, 1081C, 1156C, 1162C, 1168C, 1214C, 1315C, 1355C, 1415C, 1442C, 1452C, 1502C, 1506C, 1512C, 1528C, 1552C, 1554C, 1554C, 1571C, 1598C, 1626C, 1656C, 1712C, 1712C, 1769C"
тур,"7A, 13A, 41A, 44A, 57A, 66A, 75A, 77A, 79A, 86A, 103A, 123A, 134A, 156A, 165A, 197A, 242A, 249A, 251A, 285A, 309A, 333A, 346A, 386A, 406A, 417A, 420A, 428A, 433A, 450A, 459A, 467A, 477A, 496A, 504A, 524A, 565A, 582A, 601A, 620A, 653A, 657A, 661A, 677A, 683A, 702A, 733A, 738A, 745A, 763A, 770A, 801A, 823A, 844A, 854A, 871A, 896A, 913A, 943A, 959A, 974A, 990A, 1000A, 1029A, 1044A, 1048A, 1053A, 1069A, 1073A, 1075A, 1080A, 1087A, 1105A, 1114A, 1122A, 1132A, 1134A, 1145A, 1165A, 1253A, 1278A, 1281A, 1291A, 1324A, 1330A, 1333A, 1342A, 1357A, 1364A, 1366A, 1387A, 1393A, 1425A, 1430A, 1445A, 1451A, 1467A, 1518A, 1524A, 1527A, 1546A, 1559A, 1566A, 1577A, 1592A, 1647A, 1652A, 1673A, 1690A, 1694A, 1755A, 1764A, 1774A, 1786A, 1791A, 1794A, 1815A, 1816A, 1829A, 1834A, 1836A, 1842A, 1864A, 1873A, 1882A, 1892A, 1894A, 1900A, 1905A, 1908A, 1914A, 1918A, 1925A, 1936A, 1971A, 2008A, 2036A, 2055A, 2084A, 2091A, 2108A, 2113A, 2122A, 2135A, 2158A, 2176A, 2241A, 2250A, 2288A, 2292A, 2298A, 2309A, 2321A, 2336A, 2361A, 2372A, 2427A, 2451A, 2454A, 2456A, 2459A, 2461A, 2475A, 2487A, 2496A, 2502A, 2530A, 2549A, 2574A, 2592A, 2594A, 2600A, 2609A, 2616A, 2643A, 2646A, 2651A, 2660A, 2664A, 2684A, 2689A, 2704A, 2729A, 2737A, 2747A, 2762A, 2774A, 2776A, 2779A, 2790A, 2793A, 2801A, 2845A, 2864A, 2872A, 2908A, 2935A, 2965A, 2985A, 3015A, 3040A, 3056A, 3063A, 3065A, 3071A, 3077A, 3091A, 3094A, 3111A, 3115A, 3120A, 3141A, 3161A, 3191A, 3201A, 3205A, 3210A, 3213A, 3216A, 3219A, 3261A, 3289A, 3324A, 3326A, 3378A, 3436A, 3455A, 3477A, 3484A, 3488A, 20B, 58B, 81B, 85B, 104B, 118B, 125B, 216B, 239B, 246B, 254B, 278B, 281B, 396B, 439B, 454B, 462B, 477B, 483B, 486B, 495B, 577B, 775B, 821B, 888B, 893B, 895B, 901B, 904B, 921B, 924B, 927B, 937B, 940B, 964B, 966B, 973B, 994B, 1051B, 1058B, 1062B, 1063B, 1066B, 1149B, 1150B, 1153B, 1154B, 1159B, 1311B, 1364B, 1367B, 1378B, 1384B, 1384B, 1391B, 1396B, 1420B, 1421B, 1451B, 1452B, 1463B, 1464B, 1467B, 1499B, 1515B, 1534B, 1536B, 1538B, 1543B, 1568B, 1571B, 1575B, 1586B, 1601B, 63C, 88C, 89C, 91C, 94C, 101C, 112C, 113C, 119C, 121C, 123C, 126C, 146C, 193C, 226C, 231C, 247C, 248C, 260C, 261C, 273C, 286C, 289C, 348C, 365C, 396C, 398C, 401C, 411C, 423C, 427C, 433C, 435C, 437C, 441C, 443C, 460C, 467C, 484C, 486C, 486C, 491C, 494C, 495C, 501C, 509C, 516C, 517C, 522C, 527C, 533C, 535C, 536C, 542C, 546C, 576C, 600C, 634C, 723C, 797C, 806C, 932C, 936C, 937C, 945C, 946C, 950C, 953C, 955C, 956C, 971C, 1011C, 1047C, 1060C, 1071C, 1076C, 1081C, 1089C, 1093C, 1095C, 1098C, 1136C, 1236C, 1257C, 1264C, 1265C, 1311C, 1415C, 1430C, 1437C, 1438C, 1447C, 1470C, 1487C, 1496C, 1506C, 1571C, 1582C, 1583C, 1587C, 1595C, 1625C, 1656C, 1731C, 1747C, 1769C"
хайындырыӊмай,"8A, 136A, 165A, 186A, 202A, 219A, 291A, 308A, 322A, 372A, 381A, 383A, 390A, 424A, 429A, 479A, 555A, 567A, 575A, 627A, 715A, 815A, 824A, 845A, 850A, 867A, 872A, 897A, 918A, 940A, 959A, 980A, 987A, 1002A, 1012A, 1032A, 1100A, 1103A, 1115A, 1123A, 1135A, 1148A, 1159A, 1177A, 1181A, 1190A, 1194A, 1200A, 1215A, 1233A, 1268A, 1289A, 1298A, 1304A, 1318A, 1325A, 1347A, 1358A, 1366A, 1370A, 1409A, 1517A, 1529A, 1533A, 1639A, 1674A, 1703A, 1708A, 1747A, 1757A, 1795A, 1837A, 1848A, 1855A, 1991A, 1994A, 2056A, 2160A, 2172A, 2227A, 2274A, 2331A, 2359A, 2389A, 2403A, 2412A, 2421A, 2428A, 2455A, 2457A, 2468A, 2492A, 2514A, 2531A, 2532A, 2554A, 2562A, 2570A, 2583A, 2602A, 2610A, 2624A, 2633A, 2664A, 2665A, 2705A, 2724A, 2731A, 2738A, 2846A, 2867A, 2871A, 2880A, 2890A, 2899A, 2918A, 2930A, 2936A, 2959A, 2977A, 3042A, 3045A, 3095A, 3131A, 3152A, 3243A, 3249A, 3257A, 3263A, 3288A, 3325A, 3329A, 3345A, 3350A, 3362A, 3393A, 3403A, 3431A, 3445A, 3453A"
оол,"8A, 123A, 129A, 165A, 186A, 202A, 233A, 291A, 308A, 322A, 364A, 372A, 390A, 393A, 424A, 429A, 460A, 555A, 586A, 602A, 627A, 654A, 688A, 715A, 724A, 767A, 805A, 824A, 845A, 850A, 872A, 897A, 918A, 940A, 959A, 968A, 980A, 1006A, 1012A, 1026A, 1032A, 1081A, 1100A, 1103A, 1115A, 1123A, 1135A, 1148A, 1159A, 1177A, 1181A, 1190A, 1194A, 1200A, 1215A, 1233A, 1268A, 1304A, 1325A, 1347A, 1366A, 1517A, 1589A, 1639A, 1703A, 1708A, 1747A, 1759A, 1786A, 1795A, 1805A, 1837A, 1848A, 1855A, 1864A, 1941A, 1994A, 2016A, 2056A, 2160A, 2172A, 2188A, 2331A, 2359A, 2389A, 2403A, 2412A, 2428A, 2452A, 2468A, 2531A, 2532A, 2554A, 2562A, 2570A, 2583A, 2607A, 2610A, 2664A, 2665A, 2686A, 2690A, 2705A, 2724A, 2731A, 2738A, 2800A, 2846A, 2871A, 2880A, 2890A, 2899A, 2930A, 2936A, 2953A, 2959A, 2977A, 2991A, 3008A, 3042A, 3045A, 3095A, 3133A, 3152A, 3243A, 3249A, 3257A, 3288A, 3325A, 3329A, 3345A, 3376A, 3389A, 3393A, 3403A, 3413A, 3431A, 3445A, 3453A, 17B, 31B, 49B, 247B, 462B, 463B, 470B, 492B, 497B, 502B, 546B, 555B, 566B, 576B, 580B, 593B, 627B, 635B, 636B, 643B, 644B, 646B, 650B, 654B, 659B, 670B, 672B, 678B, 680B, 682B, 687B, 692B, 695B, 697B, 699B, 704B, 705B, 707B, 709B, 714B, 719B, 722B, 724B, 724B, 726B, 731B, 734B, 737B, 738B, 744B, 746B, 749B, 752B, 755B, 774B, 782B, 783B, 789B, 792B, 820B, 829B, 830B, 833B, 835B, 840B, 852B, 860B, 861B, 862B, 863B, 865B, 866B, 867B, 868B, 870B, 882B, 1205B, 1208B, 1243B, 1245B, 1385B, 1387B, 1392B, 269C, 282C, 290C, 291C, 292C, 301C, 306C, 314C, 322C, 327C, 338C, 342C, 344C, 349C, 351C, 367C, 370C, 381C, 384C, 720C, 725C, 767C, 804C, 811C, 812C, 818C, 823C, 824C, 841C, 843C, 847C, 859C, 862C, 890C"
дээр,"8A, 73A, 73A, 139A, 141A, 203A, 610A, 626A, 738A, 905A, 1013A, 1017A, 1085A, 1087A, 1094A, 1096A, 1191A, 1198A, 1471A, 1739A, 2026A, 2029A, 2164A, 2166A, 2177A, 2195A, 2387A, 2398A, 2417A, 2419A, 2448A, 2470A, 2533A, 2542A, 2550A, 2829A, 3279A, 3432A, 19B, 20B, 377B, 381B, 685B, 712B, 750B, 837B, 1456B, 1554B, 47C, 76C, 80C, 99C, 132C, 248C, 277C, 358C, 359C, 424C, 707C, 712C, 1122C, 1123C, 1136C, 1207C, 1286C, 1386C, 1397C, 1398C, 1409C, 1528C, 1554C, 1652C, 1669C, 1679C, 1680C"
сес,"9A, 25A, 50A, 51A, 123A, 232A, 364A, 813A, 932A, 2246A, 2247A, 2249A, 2256A, 3485A, 514B, 517B, 517B, 1595B"
харлыг,"9A, 50A, 51A, 52A, 123A, 232A, 235A, 364A, 19B, 19B, 20B, 69C, 80C, 93C, 99C, 331C, 1384C, 1385C, 1737C"
бичии,"9A, 1341A, 1341A, 1720A, 3118A, 3120A, 285B, 654B, 660B, 909B, 943B, 979B, 996B, 997B, 1389B, 1474B, 1271C, 1377C, 1768C, 1771C, 1773C, 1777C"
оолдуг,"9A, 1260C, 1262C"
даа,"9A, 17A, 18A, 23A, 27A, 28A, 35A, 58A, 63A, 65A, 70A, 75A, 82A, 86A, 103A, 104A, 124A, 135A, 157A, 165A, 182A, 197A, 236A, 239A, 241A, 242A, 243A, 257A, 267A, 281A, 285A, 286A, 291A, 309A, 327A, 338A, 346A, 382A, 390A, 424A, 429A, 430A, 433A, 446A, 459A, 483A, 501A, 503A, 548A, 549A, 565A, 574A, 585A, 646A, 647A, 648A, 677A, 683A, 702A, 725A, 812A, 813A, 820A, 822A, 857A, 866A, 871A, 872A, 876A, 908A, 919A, 920A, 945A, 946A, 948A, 952A, 954A, 1092A, 1208A, 1219A, 1230A, 1231A, 1296A, 1354A, 1356A, 1392A, 1392A, 1448A, 1451A, 1469A, 1470A, 1473A, 1475A, 1481A, 1482A, 1485A, 1485A, 1510A, 1511A, 1512A, 1524A, 1526A, 1552A, 1559A, 1566A, 1593A, 1673A, 1674A, 1747A, 1752A, 1769A, 1903A, 1904A, 1942A, 2006A, 2011A, 2015A, 2054A, 2054A, 2079A, 2084A, 2085A, 2090A, 2108A, 2113A, 2157A, 2158A, 2162A, 2173A, 2220A, 2223A, 2289A, 2300A, 2313A, 2333A, 2346A, 2371A, 2380A, 2384A, 2390A, 2413A, 2428A, 2440A, 2447A, 2530A, 2532A, 2565A, 2566A, 2582A, 2615A, 2616A, 2733A, 2734A, 2758A, 2759A, 2938A, 2940A, 2943A, 2954A, 3019A, 3020A, 3093A, 3159A, 3160A, 3272A, 3274A, 10B, 59B, 62B, 71B, 85B, 88B, 90B, 98B, 118B, 136B, 143B, 144B, 145B, 145B, 146B, 157B, 158B, 160B, 174B, 178B, 180B, 194B, 199B, 201B, 222B, 271B, 276B, 277B, 285B, 296B, 330B, 340B, 382B, 476B, 511B, 516B, 519B, 569B, 570B, 570B, 570B, 582B, 616B, 629B, 653B, 663B, 664B, 686B, 712B, 714B, 728B, 766B, 792B, 794B, 812B, 850B, 860B, 865B, 894B, 897B, 897B, 899B, 916B, 917B, 933B, 934B, 936B, 940B, 944B, 967B, 970B, 976B, 982B, 994B, 1042B, 1069B, 1085B, 1085B, 1086B, 1099B, 1114B, 1116B, 1132B, 1150B, 1154B, 1157B, 1157B, 1179B, 1196B, 1274B, 1321B, 1356B, 1358B, 1463B, 1464B, 1528B, 1535B, 1536B, 1537B, 1537B, 1552B, 1554B, 1554B, 1612B, 12C, 23C, 41C, 91C, 93C, 102C, 117C, 137C, 147C, 147C, 160C, 180C, 197C, 202C, 222C, 269C, 285C, 292C, 331C, 332C, 346C, 346C, 381C, 384C, 384C, 395C, 404C, 421C, 422C, 423C, 428C, 493C, 526C, 543C, 569C, 585C, 590C, 595C, 597C, 599C, 606C, 629C, 636C, 640C, 646C, 661C, 668C, 673C, 675C, 680C, 715C, 769C, 792C, 797C, 804C, 805C, 818C, 819C, 841C, 854C, 857C, 866C, 905C, 908C, 908C, 955C, 1067C, 1069C, 1102C, 1120C, 1137C, 1140C, 1163C, 1205C, 1226C, 1233C, 1259C, 1271C, 1287C, 1299C, 1300C, 1312C, 1312C, 1361C, 1397C, 1420C, 1421C, 1426C, 1437C, 1448C, 1456C, 1464C, 1468C, 1497C, 1501C, 1532C, 1583C, 1584C, 1592C, 1616C, 1616C, 1635C, 1663C, 1665C, 1666C, 1666C, 1672C, 1673C, 1673C, 1685C, 1693C, 1696C, 1697C, 1697C, 1714C, 1719C, 1719C, 1726C, 1728C, 1736C, 1769C"
чуве,"9A, 281A, 2929A, 3279A"
иргин,"9A, 18A, 28A, 63A, 281A, 327A, 382A, 424A, 483A, 574A, 586A, 715A, 812A, 814A, 857A, 920A, 992A, 1232A, 1258A, 1369A, 1639A, 2220A, 2346A, 2380A, 2385A, 2390A, 2447A, 2531A, 2993A, 3042A, 3138A, 3293A, 4B, 10B, 59B, 63B, 71B, 90B, 136B, 222B, 271B, 296B, 340B, 456B, 886B, 1002B, 1004B, 1011B, 1013B, 1015B, 1018B, 1020B, 1026B, 1028B, 1031B, 1032B, 1037B, 1046B, 1062B, 1072B, 1075B, 1078B, 1089B, 1095B, 1097B, 1100B, 1104B, 1108B, 1111B, 1113B, 1115B, 1118B, 1121B, 1134B, 1139B, 1146B, 1172B, 1213B, 1250B, 1294B, 1320B, 1321B, 1356B, 1360B, 1362B, 1497B, 3C, 25C, 27C, 42C, 139C, 164C, 189C, 197C, 206C, 211C, 248C, 257C, 293C, 298C, 329C, 332C, 334C, 337C, 340C, 341C, 344C, 354C, 363C, 374C, 380C, 383C, 550C, 554C, 570C, 662C, 691C, 695C, 908C, 1088C, 1146C, 1148C, 1203C, 1205C, 1313C, 1413C, 1421C, 1450C, 1458C, 1463C, 1480C, 1484C, 1516C, 1537C, 1543C, 1548C, 1563C, 1596C, 1616C, 1644C, 1708C, 1736C, 1770C, 1779C"
кадайныу,10A
чоогунга,"10A, 83A, 274A, 426C, 850C, 1505C"
буга,"11A, 61A, 544A, 599A, 621A, 1062A, 1412A, 1462A, 1473A, 1512A, 1806A, 2203A, 2290A, 2291A, 2485A, 2837A, 2916A, 2943A, 2949A, 2959A, 844C, 858C, 874C, 877C, 883C"
